Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
VLMR,p3m2,even,ideal,1000,1.5,complex,4,4,0,39,52,449,p3,m2
VLMR,p3m2,even,ideal,1000,0.9,complex,2,3,0,74,21,407,p3,m2
VLMR,p3m2,even,ideal,1000,0.405,complex,1,0,0,84,15,395,p3,m2
VLMR,p3m2,even,ideal,5000,1.5,complex,0,2,0,0,98,496,p3,m2
VLMR,p3m2,even,ideal,5000,0.9,complex,1,0,0,15,84,494,p3,m2
VLMR,p3m2,even,ideal,5000,0.405,complex,0,0,0,78,22,480,p3,m2
VLMR,p3m2,uneven,ideal,200,1.5,complex,16,13,19,45,7,178,p3,m2
VLMR,p3m2,uneven,ideal,200,0.9,complex,17,11,15,53,4,215,p3,m2
VLMR,p3m2,uneven,ideal,200,0.405,complex,15,8,15,55,8,199,p3,m2
VLMR,p3m2,uneven,ideal,500,1.5,complex,8,4,3,56,29,336,p3,m2
VLMR,p3m2,uneven,ideal,500,0.9,complex,8,4,0,72,16,370,p3,m2
VLMR,p3m2,uneven,ideal,500,0.405,complex,5,1,1,85,8,344,p3,m2
VLMR,p3m2,uneven,ideal,1000,1.5,complex,3,1,0,17,78,451,p3,m2
VLMR,p3m2,uneven,ideal,1000,0.9,complex,4,2,0,64,30,438,p3,m2
VLMR,p3m2,uneven,ideal,1000,0.405,complex,2,0,0,90,8,398,p3,m2
VLMR,p3m2,uneven,ideal,5000,1.5,complex,1,0,0,0,99,492,p3,m2
VLMR,p3m2,uneven,ideal,5000,0.9,complex,2,0,0,1,97,499,p3,m2
VLMR,p3m2,uneven,ideal,5000,0.405,complex,0,0,0,68,32,486,p3,m2
aBIC,p3m2,even,ideal,200,1.5,complex,0,0,0,7,93,219,p3,m2
aBIC,p3m2,even,ideal,200,0.9,complex,0,0,0,30,70,223,p3,m2
aBIC,p3m2,even,ideal,200,0.405,complex,0,0,0,39,61,221,p3,m2
aBIC,p3m2,even,ideal,500,1.5,complex,0,0,0,26,74,337,p3,m2
aBIC,p3m2,even,ideal,500,0.9,complex,0,0,0,86,14,349,p3,m2
aBIC,p3m2,even,ideal,500,0.405,complex,0,0,0,97,3,351,p3,m2
aBIC,p3m2,even,ideal,1000,1.5,complex,0,0,0,4,96,449,p3,m2
aBIC,p3m2,even,ideal,1000,0.9,complex,0,0,0,85,15,407,p3,m2
aBIC,p3m2,even,ideal,1000,0.405,complex,0,0,0,100,0,395,p3,m2
aBIC,p3m2,even,ideal,5000,1.5,complex,0,0,0,0,100,496,p3,m2
aBIC,p3m2,even,ideal,5000,0.9,complex,0,0,0,2,98,494,p3,m2
aBIC,p3m2,even,ideal,5000,0.405,complex,0,0,0,100,0,480,p3,m2
aBIC,p3m2,uneven,ideal,200,1.5,complex,0,0,0,8,92,178,p3,m2
aBIC,p3m2,uneven,ideal,200,0.9,complex,0,0,0,30,70,215,p3,m2
aBIC,p3m2,uneven,ideal,200,0.405,complex,0,0,0,39,61,199,p3,m2
aBIC,p3m2,uneven,ideal,500,1.5,complex,0,0,0,12,88,336,p3,m2
aBIC,p3m2,uneven,ideal,500,0.9,complex,0,0,0,78,22,370,p3,m2
aBIC,p3m2,uneven,ideal,500,0.405,complex,0,0,0,97,3,344,p3,m2
aBIC,p3m2,uneven,ideal,1000,1.5,complex,0,0,0,0,100,451,p3,m2
aBIC,p3m2,uneven,ideal,1000,0.9,complex,0,0,0,68,32,438,p3,m2
aBIC,p3m2,uneven,ideal,1000,0.405,complex,0,0,0,99,1,398,p3,m2
aBIC,p3m2,uneven,ideal,5000,1.5,complex,0,0,0,0,100,492,p3,m2
aBIC,p3m2,uneven,ideal,5000,0.9,complex,0,0,0,0,100,499,p3,m2
aBIC,p3m2,uneven,ideal,5000,0.405,complex,0,0,0,99,1,486,p3,m2
cmPk,p3m2,even,ideal,200,1.5,complex,0,0,15,85,0,219,p3,m2
